mutation	disease_covariate	organ_covariate	gender_covariate	mutation_covariate	survival_covariate	symbol	positive_prevalence	mean_cv_auroc	training_auroc	testing_auroc
238	1	0	0	1	1	ALK	0.018889	0.85642	0.82764	0.84673
238	1	0	1	1	0	ALK	0.018889	0.85762	0.82936	0.84633
238	1	0	1	1	1	ALK	0.018889	0.85618	0.82939	0.84613
238	1	1	1	1	0	ALK	0.018889	0.85385	0.82907	0.84604
238	1	1	1	1	1	ALK	0.018889	0.85313	0.82821	0.84564
238	0	1	1	1	1	ALK	0.018889	0.85275	0.82823	0.84135
238	0	1	1	1	0	ALK	0.018889	0.85362	0.82817	0.84085
238	0	0	1	1	0	ALK	0.018889	0.8477	0.82684	0.83622
238	1	1	0	1	1	ALK	0.018889	0.85368	0.83335	0.83528
238	1	1	0	1	0	ALK	0.018889	0.85243	0.83322	0.83508
238	1	0	0	1	0	ALK	0.018889	0.85629	0.82957	0.83488
238	0	0	1	1	1	ALK	0.018889	0.8476	0.82754	0.83274
238	0	0	0	1	1	ALK	0.018889	0.84552	0.82696	0.82865
238	0	1	0	1	1	ALK	0.018889	0.85331	0.83747	0.81236
238	0	1	0	1	0	ALK	0.018889	0.85211	0.83829	0.80524
238	0	1	0	0	1	ALK	0.018889	0.78255	0.76903	0.70129
238	0	1	0	0	0	ALK	0.018889	0.77866	0.76335	0.69586
238	0	1	1	0	0	ALK	0.018889	0.77725	0.76281	0.69506
238	0	1	1	0	1	ALK	0.018889	0.78244	0.7626	0.69406
238	1	0	1	0	0	ALK	0.018889	0.77592	0.77116	0.69327
238	1	0	1	0	1	ALK	0.018889	0.78126	0.77554	0.68574
238	1	0	0	0	1	ALK	0.018889	0.78142	0.77687	0.68405
238	1	1	1	0	0	ALK	0.018889	0.78731	0.76632	0.68315
238	1	1	1	0	1	ALK	0.018889	0.79123	0.76632	0.68315
238	1	0	0	0	0	ALK	0.018889	0.77786	0.7709	0.68295
238	1	1	0	0	0	ALK	0.018889	0.78553	0.7541	0.6829
238	1	1	0	0	1	ALK	0.018889	0.79121	0.76059	0.67533
238	0	0	0	0	1	ALK	0.018889	0.51956	0.50443	0.60007
238	0	0	1	0	0	ALK	0.018889	0.57719	0.54399	0.565
238	0	0	1	0	1	ALK	0.018889	0.57671	0.54399	0.565
238	0	0	0	1	0	ALK	0.018889	0.84524	0.17316	0.16378
672	1	0	0	1	0	BRCA1	0.018615	0.84055	0.8314	0.86103
672	1	0	1	1	0	BRCA1	0.018615	0.83859	0.8314	0.86103
672	0	1	1	1	0	BRCA1	0.018615	0.83636	0.83073	0.86006
672	0	1	0	1	0	BRCA1	0.018615	0.83632	0.83074	0.86006
672	0	1	0	1	1	BRCA1	0.018615	0.83624	0.83074	0.86006
672	0	1	1	1	1	BRCA1	0.018615	0.83628	0.8309	0.86006
672	1	1	0	1	0	BRCA1	0.018615	0.83635	0.83116	0.86006
672	1	1	1	1	0	BRCA1	0.018615	0.83634	0.83113	0.86006
672	1	0	0	1	1	BRCA1	0.018615	0.83862	0.82585	0.85291
672	1	0	1	1	1	BRCA1	0.018615	0.83864	0.82585	0.85291
672	1	1	0	1	1	BRCA1	0.018615	0.83638	0.82333	0.8475
672	1	1	1	1	1	BRCA1	0.018615	0.8364	0.82333	0.8475
672	0	0	1	1	0	BRCA1	0.018615	0.82859	0.81965	0.83918
672	0	0	0	1	0	BRCA1	0.018615	0.82738	0.81799	0.83544
672	0	0	0	1	1	BRCA1	0.018615	0.82738	0.81799	0.83544
672	0	0	1	1	1	BRCA1	0.018615	0.82738	0.81799	0.83544
672	1	0	0	0	1	BRCA1	0.018615	0.7033	0.75681	0.71179
672	0	1	0	0	1	BRCA1	0.018615	0.71455	0.75257	0.7113
672	1	0	1	0	0	BRCA1	0.018615	0.72292	0.75269	0.70943
672	0	1	1	0	1	BRCA1	0.018615	0.71844	0.75269	0.70763
672	1	0	1	0	1	BRCA1	0.018615	0.71953	0.75806	0.707
672	1	0	0	0	0	BRCA1	0.018615	0.72229	0.75222	0.7052
672	1	1	1	0	0	BRCA1	0.018615	0.72895	0.75386	0.7025
672	1	1	0	0	0	BRCA1	0.018615	0.72504	0.75177	0.7016
672	0	1	1	0	0	BRCA1	0.018615	0.72877	0.75015	0.69945
672	0	1	0	0	0	BRCA1	0.018615	0.72111	0.7484	0.69861
672	1	1	0	0	1	BRCA1	0.018615	0.72	0.71965	0.66907
