false_positive_rate,true_positive_rate,partition,feature_set
0,0.000432152,train,full features
0,0.009507347,train,full features
0.000234687,0.009507347,train,full features
0.000234687,0.015557476,train,full features
0.000469373,0.015557476,train,full features
0.000469373,0.017718237,train,full features
0.00070406,0.017718237,train,full features
0.00070406,0.032843561,train,full features
0.001173433,0.032843561,train,full features
0.001173433,0.037165082,train,full features
0.00140812,0.037165082,train,full features
0.00140812,0.037597234,train,full features
0.001642807,0.037597234,train,full features
0.001642807,0.041486603,train,full features
0.001877494,0.041486603,train,full features
0.001877494,0.044079516,train,full features
0.00211218,0.044079516,train,full features
0.00211218,0.054019015,train,full features
0.002346867,0.054019015,train,full features
0.002346867,0.062229905,train,full features
0.002581554,0.062229905,train,full features
0.002581554,0.063094209,train,full features
0.003050927,0.063094209,train,full features
0.003050927,0.06525497,train,full features
0.003285614,0.06525497,train,full features
0.003285614,0.065687122,train,full features
0.0035203,0.065687122,train,full features
0.0035203,0.066551426,train,full features
0.003754987,0.066551426,train,full features
0.003754987,0.066983578,train,full features
0.003989674,0.066983578,train,full features
0.003989674,0.068712187,train,full features
0.00422436,0.068712187,train,full features
0.00422436,0.072169404,train,full features
0.004693734,0.072169404,train,full features
0.004693734,0.077787381,train,full features
0.004928421,0.077787381,train,full features
0.004928421,0.07951599,train,full features
0.005163107,0.07951599,train,full features
0.005163107,0.080812446,train,full features
0.005397794,0.080812446,train,full features
0.005397794,0.082108902,train,full features
0.005632481,0.082108902,train,full features
0.005632481,0.083405359,train,full features
0.005867167,0.083405359,train,full features
0.005867167,0.090319793,train,full features
0.006101854,0.090319793,train,full features
0.006101854,0.091616249,train,full features
0.006336541,0.091616249,train,full features
0.006336541,0.092048401,train,full features
0.006571227,0.092048401,train,full features
0.006571227,0.101555748,train,full features
0.006805914,0.101555748,train,full features
0.006805914,0.105012965,train,full features
0.007275287,0.105012965,train,full features
0.007275287,0.117113224,train,full features
0.007509974,0.117113224,train,full features
0.007509974,0.117545376,train,full features
0.007744661,0.117545376,train,full features
0.007744661,0.123595506,train,full features
0.008214034,0.123595506,train,full features
0.008214034,0.130509939,train,full features
0.008448721,0.130509939,train,full features
0.008448721,0.130942092,train,full features
0.008683408,0.130942092,train,full features
0.008683408,0.132238548,train,full features
0.008918094,0.132238548,train,full features
0.008918094,0.13872083,train,full features
0.009152781,0.13872083,train,full features
0.009152781,0.139152982,train,full features
0.009856841,0.139152982,train,full features
0.009856841,0.145203111,train,full features
0.010091528,0.145203111,train,full features
0.010091528,0.14693172,train,full features
0.010795588,0.14693172,train,full features
0.010795588,0.149092481,train,full features
0.011030275,0.149092481,train,full features
0.011030275,0.152549697,train,full features
0.011264961,0.152549697,train,full features
0.011264961,0.153414002,train,full features
0.011499648,0.153414002,train,full features
0.011499648,0.15514261,train,full features
0.011734335,0.15514261,train,full features
0.011734335,0.160328436,train,full features
0.011969021,0.160328436,train,full features
0.011969021,0.162921348,train,full features
0.012203708,0.162921348,train,full features
0.012203708,0.163785653,train,full features
0.012438395,0.163785653,train,full features
0.012438395,0.165082109,train,full features
0.012673081,0.165082109,train,full features
0.012673081,0.166810717,train,full features
0.012907768,0.166810717,train,full features
0.012907768,0.168107174,train,full features
0.013377142,0.168107174,train,full features
0.013377142,0.171996543,train,full features
0.013611828,0.171996543,train,full features
0.013611828,0.173725151,train,full features
0.013846515,0.173725151,train,full features
0.013846515,0.17545376,train,full features
0.014081202,0.17545376,train,full features
0.014081202,0.177182368,train,full features
0.014315888,0.177182368,train,full features
0.014315888,0.178046672,train,full features
0.014550575,0.178046672,train,full features
0.014550575,0.181936041,train,full features
0.014785262,0.181936041,train,full features
0.014785262,0.185393258,train,full features
0.015254635,0.185393258,train,full features
0.015254635,0.185825411,train,full features
0.015489322,0.185825411,train,full features
0.015489322,0.187986171,train,full features
0.015724008,0.187986171,train,full features
0.015724008,0.18971478,train,full features
0.015958695,0.18971478,train,full features
0.015958695,0.19187554,train,full features
